Procls,Bin,Price
13078051202,179,411
13068051019,199,411
13078051202,179,411
14078071211,179,411
14088071701,179,411
13078051202,179,412
13068051019,199,412
14078071223,179,412
14088071602,199,412
11019241120,299,413
13019271016,179,413
13019271016,179,413
13019271012,199,413
11078241049,199,414
11058241019,199,414
11058241049,199,414
13038271204,199,414
14019071229,199,421
14078071414,239,421
14078071015,199,421
14078071015,199,421
13019051201,179,422
13019051214,199,422
13019051202,159,422
13067051005,159,422
13019051028,159,422
11019241003,199,423
11019241003,199,423
11019241003,199,423
13039271221,179,423
13039271221,179,423
13017271211,159,424
13078271008,199,424
13077271005,179,424
14078071015,199,431
14078071015,199,431
14078071015,199,431
14078071015,199,431
13019051028,159,432
13019051028,159,432
13039191201,159,432
13039191249,179,432
13039191249,179,432
13039271221,179,433
13039271221,179,433
13039271221,179,433
13039271221,179,433
13039271221,179,433
11058241094,199,434
11058241017,179,434
11078241071,199,434
11078241071,199,434
11088241059,259,434
14088071504,259,441
14088071504,259,441
14078071227,239,441
14078071201,259,441
14078071201,259,441
14078071201,259,441
13039191256,159,442
12019161012,239,442
12019161014,219,442
12078161007,179,442
12078161001,199,442
11039241002,179,443
11039241002,179,443
11039241002,179,443
11039241002,179,443
11039241002,179,443
11078241013,219,444
11088241006,219,444
11088241006,219,444
11088241006,219,444
11088241006,219,444
14078071201,259,451
14078071201,259,451
14078071201,259,451
14078071214,219,451
12078161200,179,452
12019161037,219,452
12019161217,159,452
12078161200,179,452
12088161404,199,452
12078161014,239,452
12088161401,199,452
12078161013,219,452
11039241005,199,453
11039241005,199,453
11039241005,199,453
11039241005,199,453
13078271211,239,454
13078271212,219,454
12039001297,49,311
12039001297,49,311
12029001017,49,311
12029011005,99,311
12039001223,139,312
12039001223,139,312
12039001223,139,312
12039001223,139,312
12039001232,119,313
12047001072,79,313
12078271271,199,314
12078271271,199,314
12078271271,199,314
12078271271,199,314
12039001297,49,321
12039001297,49,321
12039001297,49,321
12039001297,49,321
12039001297,49,321
12039001223,139,322
12039001223,139,322
12039001223,139,322
12039001223,139,322
12039001223,139,322
12039001279,139,323
12039001279,139,323
12039001279,139,323
12039001231,119,323
12078271263,219,324
12078271263,219,324
12078271263,219,324
12078271029,159,324
13078271201,239,324
12039001282,89,331
12039001282,89,331
12039001282,89,331
12039001282,89,331
12039001282,89,331
12039001335,139,332
12039001335,139,332
12039001223,139,332
12039001223,139,332
12039001231,119,333
12039001231,119,333
12039001231,119,333
12039001231,119,333
12039001231,119,333
12088271015,219,334
13088271283,239,334
12088271040,199,334
12088271040,199,334
12019271311,219,334
12039001282,89,341
12039001294,79,341
12039001294,79,341
12039001294,79,341
12039001294,79,341
12039001335,139,342
12039001335,139,342
12039001335,139,342
12039001335,139,342
12039001020,139,343
12039001020,139,343
12039001336,139,343
12039001336,139,343
12039001335,139,342
13029271252,199,344
13029271252,199,344
12019271055,199,344
12039271277,199,344
12039271277,199,344
12039271277,199,344
12039001295,59,351
12039001295,59,351
12039001295,59,351
12039001335,139,352
12039001339,139,352
12039001339,139,352
12039001339,139,352
13019271214,199,354
13019271214,199,354
13019271214,199,354
12039271278,159,354
12039271278,159,354
12039001015,99,211
12039001015,99,211
12039001015,99,211
12039001269,99,211
12039001062,119,212
12039001295,59,212
12039001295,59,212
12039001296,49,212
13019081068,359,213
13019091135,299,213
13019091135,299,213
13019081122,359,214
13019081018,339,214
13019081121,359,214
11019081063,319,214
13019081116,339,214
13019081116,339,214
13019081018,339,214
12039001269,99,221
12039001269,99,221
12039001003,99,221
12039001003,99,221
12039001003,99,221
12039001296,49,222
12039001296,49,222
12039001296,49,222
12039001271,89,222
12039001271,89,222
13019081009,359,223
13019081009,359,223
13019081009,359,223
13019081009,359,223
13019081016,339,223
13019081016,339,223
13019091133,439,224
13019091133,439,224
13019091060,439,224
12039001006,79,231
12039001006,79,231
12039001006,79,231
12039001006,79,231
12039001009,79,231
12039001293,69,231
12039001271,89,232
12039001105,139,232
12039001105,139,232
12039001105,139,232
11019081059,299,233
11019081059,299,233
13019081009,359,233
13019081012,359,241
13019081012,359,241
13019081012,359,241
13019081012,359,241
13078091153,459,242
13019091059,559,243
13019101316,459,251
13019091037,359,251
13019101316,459,252
13019101316,459,252
13019101316,459,252
16019411023,0,o-100
16019401014,0,o-214
16019411010,0,o-212
16078401005,0,o-312
16019401016,0,o-314
16078411015,0,o-321
16019401016,0,o-321
16019411019,0,o-322
16078411003,0,o-323
16058401002,0,o-323
13039271230,179,432
